#{"t_start": 1764783648.738105, "env_id": "Gym-Gridworlds/FourRooms-Original-13x13-v0"}
r,l,t
0.195266,17,9.818309
0.733728,10,9.821168
0.982249,3,9.822398
0.378698,15,9.828094
0.609467,12,9.831816
0.64497,12,9.835624
0.87574,7,9.837459
0.940828,5,9.840289
-2.686391,55,9.856697
0.940828,5,9.858924
0.87574,7,9.860447
0.899408,7,9.863583
0.64497,12,9.867181
0.733728,10,9.870751
0.964497,4,9.871944
0.378698,15,9.876922
0.230769,17,9.882775
0.769231,10,9.885577
-2.715976,60,9.904203
-0.579882,36,9.915969
0.911243,7,9.918403
0.911243,6,9.920234
0.04142,25,9.928169
0.798817,9,9.931368
0.378698,15,9.936379
0.621302,12,9.940256
0.87574,7,9.942127
0.928994,6,9.944956
0.538462,13,9.94923
0.52071,15,9.954331
0.106509,19,9.960648
0.83432,8,9.964255
0.538462,13,9.968222
0.686391,11,9.972324
-0.526627,27,9.98075
0.112426,21,9.988552
-0.183432,21,9.995193
0.982249,3,9.996389
0.982249,3,9.996717
0.544379,14,10.002741
0.87574,7,10.005398
-0.147929,34,10.016081
0.272189,19,10.02245
0.112426,21,10.030033
0.733728,10,10.033582
0.106509,19,10.039553
0.733728,10,10.043435
0.633136,13,10.048382
0.461538,14,10.053545
0.426036,19,10.059199
-1.349112,38,10.071326
-1.940828,46,10.085899
0.786982,9,10.089453
0.911243,6,10.091086
-3.023669,77,10.115173
1.0,1,10.116741
-0.366864,23,10.123574
0.810651,9,10.127021
-1.08284,42,10.13936
0.502959,16,10.144813
0.710059,11,10.14824
-0.284024,22,10.154908
0.047337,19,10.160716
0.609467,12,10.165244
0.568047,14,10.170014
0.710059,11,10.172884
0.982249,3,10.174231
0.289941,16,10.17979
0.12426,20,10.185668
0.83432,8,10.18823
0.911243,6,10.190696
0.964497,4,10.193006
-0.390533,23,10.199604
1.0,1,10.20061
0.87574,7,10.202229
0.076923,21,10.210039
-0.461538,26,10.217427
0.940828,5,10.218773
0.786982,9,10.222109
0.674556,11,10.225659
0.289941,16,10.230605
0.609467,12,10.234292
0.609467,12,10.238279
0.881657,9,10.242705
0.934911,6,10.244073
0.301775,16,10.249095
0.982249,3,10.250345
0.550296,13,10.255218
0.792899,9,10.257785
0.733728,10,10.261271
0.532544,14,10.265213
-3.16568,83,10.293078
0.733728,10,10.296458
0.83432,8,10.298949
0.798817,9,10.301601
-0.183432,21,10.3086
0.159763,21,10.314603
0.461538,15,10.319879
0.16568,18,10.326369
0.786982,9,10.329954
0.532544,15,10.334942
0.964497,4,10.336588
0.982249,3,10.336969
-0.08284,23,10.345602
-0.0,19,10.351751
0.798817,9,10.3544
0.289941,16,10.363066
0.911243,6,10.399586
0.674556,11,10.415157
0.786982,9,10.419069
0.798817,9,10.422906
-0.467456,24,10.433696
0.325444,16,10.439473
0.532544,14,10.444194
0.147929,18,10.450128
-0.52071,35,10.462638
0.065089,21,10.469956
0.757396,11,10.47495
0.887574,11,10.478168
0.384615,17,10.484676
0.544379,14,10.489443
0.378698,15,10.495373
0.544379,14,10.500421
0.455621,16,10.506657
0.207101,20,10.513141
0.207101,17,10.519319
-0.378698,23,10.526168
-0.621302,25,10.536249
0.378698,19,10.542291
-0.017751,21,10.549381
0.852071,14,10.553598
0.343195,18,10.560521
0.692308,13,10.564251
0.106509,18,10.569714
0.502959,14,10.574662
0.798817,9,10.57785
0.301775,16,10.58379
0.87574,7,10.586281
0.556213,14,10.590011
0.52071,15,10.596204
0.87574,7,10.59858
-0.118343,22,10.605518
0.798817,9,10.609084
0.786982,9,10.612323
-0.130178,22,10.618628
0.911243,6,10.621284
1.0,1,10.62137
0.378698,15,10.628118
0.065089,20,10.634423
0.106509,23,10.643245
-0.0,19,10.64874
0.195266,17,10.656218
0.911243,7,10.658276
0.094675,18,10.665565
0.911243,6,10.667062
-0.076923,21,10.676102
0.674556,11,10.679058
0.195266,17,10.68618
0.402367,18,10.692829
0.674556,11,10.697285
0.609467,12,10.70136
0.83432,8,10.704275
0.16568,18,10.710803
0.769231,10,10.715707
-11.372781,200,10.777067
0.83432,8,10.779488
0.538462,13,10.783272
0.733728,10,10.787572
0.674556,11,10.79039
0.704142,12,10.794059
0.609467,12,10.797391
0.994083,2,10.799038
0.769231,10,10.80173
-0.810651,37,10.813753
0.674556,11,10.816452
0.87574,7,10.819732
0.597633,13,10.823424
0.301775,16,10.828349
0.721893,11,10.832053
-4.278107,103,10.862759
0.609467,12,10.866495
0.911243,6,10.867996
-2.899408,58,10.885724
0.769231,10,10.889379
0.047337,19,10.896603
-0.118343,26,10.905394
0.325444,20,10.919936
0.295858,16,10.928851
0.538462,13,10.933138
0.532544,14,10.93774
0.911243,6,10.940157
-0.183432,21,10.948248
0.733728,10,10.951716
